QuestionID,TextoPT,Tipo,ChaveTexto
Q040,Qual o horizonte de investimento de seus clientes?,única,qual o horizonte de investimento de seus clientes?
Q041,O horizonte de investimento de seus clientes mudou devido a eventos macroeconômicos recentes?,única,o horizonte de investimento de seus clientes mudou devido a eventos macroeconômicos recentes?
Q042,O interesse de seus clientes por investimentos internacionais aumentou após o anúncio das tarifas e a volatilidade recente no mercado?,única,o interesse de seus clientes por investimentos internacionais aumentou após o anúncio das tarifas e a volatilidade recente no mercado?
Q043,Seus clientes acreditam que o atual ciclo de alta de juros no Brasil está próximo do fim?,única,seus clientes acreditam que o atual ciclo de alta de juros no brasil está próximo do fim?
Q044,A partir de qual nível de Selic seus clientes começam a se interessar por renda variável?,única,a partir de qual nível de selic seus clientes começam a se interessar por renda variável?
Q045,Como seus clientes costumam reagir a fortes quedas de mercado (ex.: -5% na Bolsa)?,única,como seus clientes costumam reagir a fortes quedas de mercado (ex.: -5% na bolsa)?
Q046,Qual é a percepção predominante dos seus clientes sobre a taxa de câmbio referente ao dólar?,única,qual é a percepção predominante dos seus clientes sobre a taxa de câmbio referente ao dólar?
Q047,As recentes mudanças nas regras do IOF sobre investimentos/previdência alteraram a visão dos seus clientes?,única,as recentes mudanças nas regras do iof sobre investimentos/previdência alteraram a visão dos seus clientes?
Q048,Como você avaliaria o nível de compreensão dos seus clientes sobre o atual cenário macro?,única,como você avaliaria o nível de compreensão dos seus clientes sobre o atual cenário macro?
Q049,Como seus clientes enxergam a trajetória da inflação nos próximos 12 meses e como isso tem influenciado o posicionamento deles em investimentos?,única,como seus clientes enxergam a trajetória da inflação nos próximos 12 meses e como isso tem influenciado o posicionamento deles em investimentos?
Q050,A performance dos ativos no 1o semestre gerou mudanças nas carteiras dos seus clientes?,única,a performance dos ativos no 1o semestre gerou mudanças nas carteiras dos seus clientes?
Q051,"Diante do contexto recente de alterações nas relações comerciais entre Brasil e EUA, incluindo anúncios de tarifas, quais movimentos de alocação você tem observado nas carteiras dos clientes?",múltipla,"diante do contexto recente de alterações nas relações comerciais entre brasil e eua, incluindo anúncios de tarifas, quais movimentos de alocação você tem observado nas carteiras dos clientes?"
Q052,A expectativa de início do ciclo de cortes na Selic em 2026 influenciou de alguma forma as alocações dos seus clientes?,única,a expectativa de início do ciclo de cortes na selic em 2026 influenciou de alguma forma as alocações dos seus clientes?
Q053,Houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 2º trimestre?,única,houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 2º trimestre?
Q054,A expectativa da retomada do ciclo de cortes de juros nos EUA está influenciando de alguma forma as alocações dos seus clientes?,única,a expectativa da retomada do ciclo de cortes de juros nos eua está influenciando de alguma forma as alocações dos seus clientes?
Q055,O recém-aprovado PL que irá introduzir a tributação de 10% na fonte sobre dividendos acima de R$ 50 mil por mês alterou a visão dos seus clientes?,única,o recém-aprovado pl que irá introduzir a tributação de 10% na fonte sobre dividendos acima de r$ 50 mil por mês alterou a visão dos seus clientes?
Q056,Você utiliza ferramentas de Inteligência Artificial para avaliar ou apoiar decisões de investimento?,única,você utiliza ferramentas de inteligência artificial para avaliar ou apoiar decisões de investimento?
Q057,Qual é a alocação dos seus clientes em ações de empresas endividadas?,única,qual é a alocação dos seus clientes em ações de empresas endividadas?
Q058,A partir de qual nível da taxa Selic seus clientes aumentariam alocação em renda variável?,única,a partir de qual nível da taxa selic seus clientes aumentariam alocação em renda variável?
Q059,"Os eventos recentes e volatilidade no crédito privado, alteraram as perspectivas de alocação em renda variavel e outras classes de risco, com seus clientes?",única,"os eventos recentes e volatilidade no crédito privado, alteraram as perspectivas de alocação em renda variavel e outras classes de risco, com seus clientes?"
Q060,Qual o nível que você espera que o Ibovespa atinja ao fim de 2026?,única,qual o nível que você espera que o ibovespa atinja ao fim de 2026?
Q061,Os clientes estão alterando suas perspectivas de alocação em meio aos recentes anúncios de dividendos em antecipação à lei da reforma do Imposto de Renda?,única,os clientes estão alterando suas perspectivas de alocação em meio aos recentes anúncios de dividendos em antecipação à lei da reforma do imposto de renda?
Q062,Quais características na renda variável que seus clientes estão mais interessados em investir neste momento?2,única,quais características na renda variável que seus clientes estão mais interessados em investir neste momento?2
Q063,O cenário eleitoral de 2026 já está influenciando no posicionamento de seus clientes?,única,o cenário eleitoral de 2026 já está influenciando no posicionamento de seus clientes?
Q064,"Como você avalia a evolução do interesse dos clientes por fundos passivos (fundos de investimento que acompanham um índice de mercado, replicando sua composição) nos últimos meses/anos?",única,"como você avalia a evolução do interesse dos clientes por fundos passivos (fundos de investimento que acompanham um índice de mercado, replicando sua composição) nos últimos meses/anos?"
Q065,Como você avalia a evolução do interesse dos clientes por fundos ativos nos últimos meses/anos?,única,como você avalia a evolução do interesse dos clientes por fundos ativos nos últimos meses/anos?
Q066,Em qual nível você acha que a taxa Selic estará no final de 2026?,única,em qual nível você acha que a taxa selic estará no final de 2026?
Q067,Como você avalia o desempenho das carteiras de seus clientes durante a recente alta da bolsa brasileira?,única,como você avalia o desempenho das carteiras de seus clientes durante a recente alta da bolsa brasileira?
Q068,"Nessa mesma linha, com a forte alta recente da Bolsa, como você avalia a atratividade das ações brasileiras no momento?",única,"nessa mesma linha, com a forte alta recente da bolsa, como você avalia a atratividade das ações brasileiras no momento?"
Q069,Como a recente escalada da guerra no Oriente Médio e o aumento do preço do petróleo estão impactando as decisões de alocação de seus clientes?,múltipla,como a recente escalada da guerra no oriente médio e o aumento do preço do petróleo estão impactando as decisões de alocação de seus clientes?
Q070,"Como você descreveria a postura atual de seus clientes em relação ao início do ciclo de corte de juros no Brasil, que deve se iniciar em março?",única,"como você descreveria a postura atual de seus clientes em relação ao início do ciclo de corte de juros no brasil, que deve se iniciar em março?"
Q071,Você percebeu alguma mudança de comportamento dos seus clientes após o início da guerra no Oriente Médio?,única,você percebeu alguma mudança de comportamento dos seus clientes após o início da guerra no oriente médio?
Q072,"Como seus clientes têm reagido ao movimento recente de valorização do real, com o dólar voltando a cair abaixo de R$5,00?",múltipla,"como seus clientes têm reagido ao movimento recente de valorização do real, com o dólar voltando a cair abaixo de r$5,00?"
Q073,A recente valorização das ações ligadas ao tema de inteligência artificial elevou o interesse dos seus clientes por investimentos nesses setores ou Bolsas globais?,múltipla,a recente valorização das ações ligadas ao tema de inteligência artificial elevou o interesse dos seus clientes por investimentos nesses setores ou bolsas globais?
