AnswerID,QuestionID,RotuloPT,RotuloEN,Ordem,Origem
Q010-A10,Q010,9,,10,curada
Q010-A11,Q010,10,,11,curada
Q010-A12,Q010,Resposta média,,12,curada
Q011-A01,Q011,0,,1,curada
Q011-A02,Q011,1,,2,curada
Q011-A03,Q011,2,,3,curada
Q011-A04,Q011,3,,4,curada
Q011-A05,Q011,4,,5,curada
Q011-A06,Q011,5,,6,curada
Q011-A07,Q011,6,,7,curada
Q011-A08,Q011,7,,8,curada
Q011-A09,Q011,8,,9,curada
Q011-A10,Q011,9,,10,curada
Q011-A11,Q011,10,,11,curada
Q011-A12,Q011,Resposta média,,12,curada
Q012-A01,Q012,Mais otimista,More optimistic,1,curada
Q012-A02,Q012,Mais pessimista,More pessimist,2,curada
Q012-A03,Q012,Não mudou,Not changed,3,curada
Q013-A01,Q013,Abaixo de 9%,Under 9%,1,curada
Q013-A02,Q013,Entre 9% e 10%,Between 9% to 10%,2,curada
Q013-A03,Q013,Entre 10% e 11%,Between 10% to 11%,3,curada
Q013-A04,Q013,Entre 11% e 12%,Between 11% to 12%,4,curada
Q013-A05,Q013,"Entre 12% e 12,75%",Between 12% to 12.75%,5,curada
Q013-A06,Q013,"Acima de 12,75%",Above 12.75%,6,curada
Q015-A01,Q015,Diariamente,Daily,1,curada
Q015-A02,Q015,Semanalmente,Weekly,2,curada
Q015-A03,Q015,Mensalmente,Monthly,3,curada
Q015-A04,Q015,Trimestralmente,Quarterly,4,curada
Q015-A05,Q015,Anualmente,Yearly,5,curada
Q015-A06,Q015,Outra,Other,6,curada
Q014-A01,Q014,Abaixo de 100 mil pontos,100000,1,curada
Q014-A02,Q014,Entre 100 mil e 110 mil pontos,105000,2,curada
Q014-A03,Q014,Entre 110 mil e 120 mil pontos,115000,3,curada
Q014-A04,Q014,Entre 120 mil e 130 mil pontos,125000,4,curada
Q014-A05,Q014,Entre 130 mil e 140 mil pontos,135000,5,curada
Q014-A06,Q014,Acima de 140 mil pontos,140000,6,curada
Q014-A07,Q014,Abaixo de 110 mil pontos,110000,7,curada
Q014-A11,Q014,Entre 140 mil e 150 mil pontos,145000,11,curada
Q014-A12,Q014,Entre 150 mil e 160 mil pontos,155000,12,curada
Q014-A13,Q014,Acima de 160 mil pontos,160000,13,curada
Q016-A01,Q016,Cortes de juros no Brasil;,Cortes de juros no Brasil,1,curada
Q016-A02,Q016,Queda de juros nos EUA e no mundo,Queda de juros nos EUA e mundo,2,curada
Q016-A03,Q016,Mercado voltando a ter performance sólida,Mercado voltando a ter performance sólida,3,curada
Q016-A04,Q016,Melhora na recuperação econômica global;,Melhora na recuperação econômica da China,4,curada
Q016-A05,Q016,Mudança de rumo na política econômica;,Mudança de rumo na política econômica,5,curada
Q016-A06,Q016,Melhora na recuperação econômica global,Melhora na recuperação econômica global,6,curada
Q016-A07,Q016,Outra,Outra,7,curada
Q017-A01,Q017,Small Caps;,Small Caps,1,curada
Q017-A02,Q017,Dividendos;,Dividendos,2,curada
Q017-A03,Q017,Large Caps;,Large Caps,3,curada
Q017-A04,Q017,Commodities;,Commodities,4,curada
Q017-A05,Q017,Ações com exposição a dólar;,Ações com exposição a dólar,5,curada
Q017-A06,Q017,Ações defensivas;,Ações defensivas,6,curada
Q017-A07,Q017,Alto momentum;,Alto momentum,7,curada
Q017-A08,Q017,Teses de turnaround;,Teses de turnaround,8,curada
Q017-A09,Q017,Ações de alto crescimento;,Ações de alto crescimento,9,curada
Q017-A10,Q017,Outra;,Outra,10,curada
Q018-A01,Q018,Estou posicionado em um nível que acho adequado,I am positioned at a level that I think is appropriate,1,curada
Q018-A02,Q018,Estou me preparando para aumentar exposição,I'm getting ready to increase exposure,2,curada
Q018-A03,Q018,Devo comprar quando o Ibovespa subir de forma mais consistente,I should buy when the Ibovespa  rises more consistently,3,curada
Q018-A04,Q018,Só compro quando meus investimentos no setor tiverem se recuperado,I only buy when my investments in the sector have recovered,4,curada
Q018-A05,Q018,Só invisto se tiver muito conforto pois perdi muito dinheiro nos últimos meses/anos,I only invest if I feel very comfortable because I lost a lot of money in the last few months,5,curada
Q019-A01,Q019,A recente onda de Recuperações Judiciais no agro afetou a decisão de investimento no setor,The recent wave of judicial recoveries in the agribusiness sector has affected investiment decisions in the sector,1,curada
Q019-A02,Q019,"A ciclicidade, questões climáticas e efeitos macro (ex. taxa de câmbio) são fatores que reduzem o apetite pelo setor","The cilicality, climate questions and macro effects (like exchange rates) are factors the reduce the appetite for the sector",2,curada
Q019-A03,Q019,"Além de investir via ações, meus clientes operam derivativos agrícolas também","In addition to investiments through stocks, my clients also trade agricultural derivatives",3,curada
Q019-A04,Q019,"A liquidez dos papéis com IPO mais recente (ex. TTEN, SOJA, JALL, VITT) reduz o apetite do investidor",The liquidity of the stocks that have had recent IPOs reduce the apetite of the investor,4,curada
Q019-A05,Q019,Por sua relevância nas discussões da reforma tributária prefiro ficar fora do setor,"Due its relevance in Tax Reform discussions, I prefer to stay out of the sector",5,curada
Q019-A06,Q019,Quais são os 3 papéis de maior procura pelos seus clientes?,,6,curada
Q019-A07,Q019,Seus clientes acompanham a temporada de resultados?,,7,curada
Q019-A08,Q019,"Sim, para acharem oportunidades de curto prazo",,8,curada
Q019-A09,Q019,"Sim, para buscarem oportunidades de longo prazo",,9,curada
Q019-A10,Q019,"Sim, para monitoramento da carteira",,10,curada
Q019-A11,Q019,Não acompanham,,11,curada
Q019-A12,Q019,"Com a alta do dólar, como seus clientes estão se posicionando?",,12,curada
Q019-A13,Q019,Ações internacionais,,13,curada
Q019-A14,Q019,Renda fixa internacional,,14,curada
Q019-A15,Q019,Ações de empresas brasileiras expostas ao dólar,,15,curada
Q019-A16,Q019,Renda fixa local,,16,curada
Q019-A17,Q019,Diretamente em moeda americana (dólar) ou fundo cambial,,17,curada
Q019-A18,Q019,Meus clientes não estão fazendo nenhuma alteração na alocação,,18,curada
Q019-A19,Q019,Em qual nível de Selic seus clientes devem voltar a alocar em renda variável?,,19,curada
Q019-A20,Q019,0.12,,20,curada
Q019-A21,Q019,0.11,,21,curada
Q019-A22,Q019,0.1,,22,curada
Q019-A23,Q019,0.09,,23,curada
Q019-A24,Q019,0.08,,24,curada
Q019-A25,Q019,Abaixo 8%,,25,curada
Q019-A26,Q019,Qual o nível que você espera que o Ibovespa atinja nos próximos 12 meses?,,26,curada
Q019-A27,Q019,Abaixo 120 mil pontos,120000,27,curada
Q019-A28,Q019,Entre 120 mil e 130 mil pontos,125000,28,curada
Q019-A29,Q019,Entre 130 mil e 140 mil pontos,135000,29,curada
Q019-A30,Q019,Entre 140 mil e 150 mil pontos,145000,30,curada
Q019-A31,Q019,Entre 150 mil e 160 mil pontos,155000,31,curada
Q019-A32,Q019,Entre 160 e 170 mil pontos,165000,32,curada
Q019-A33,Q019,Acima 170 mil pontos,170000,33,curada
Q019-A34,Q019,Houve alteração nas carteiras de seus clientes após os recentes anúncios de estímulos na China?,,34,curada
Q019-A35,Q019,"Sim, aumentaram exposição em ativos chineses ou expostos à China",,35,curada
Q019-A36,Q019,"Não, mas meus clientes planejam aumentar a alocação em ativos chineses ou expostos à China",,36,curada
Q019-A37,Q019,"Não, pois meus clientes já estão posicionados em ativos chineses ou expostos à China",,37,curada
Q019-A38,Q019,"Não, e não planejam pois os clientes não acreditam numa mudança estrutural na China",,38,curada
Q019-A39,Q019,Outra,,39,curada
Q019-A40,Q019,Houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 3o trimestre?,,40,curada
Q019-A41,Q019,"Sim, ficaram mais otimistas",,41,curada
Q019-A42,Q019,"Sim, ficaram mais neutros",,42,curada
Q019-A43,Q019,"Sim, ficaram mais pessimistas",,43,curada
Q019-A44,Q019,"Não, permaneceram otimistas",,44,curada
Q019-A45,Q019,"Não, permaneceram neutros",,45,curada
Q019-A46,Q019,"Não, permaneceram pessimistas",,46,curada
Q019-A47,Q019,Houve ou haverá alteração nas carteiras de renda variável de seus clientes em meio às eleições americanas?,,47,curada
Q019-A48,Q019,"Sim, aumentaram ou planejam aumentar a exposição em setores de exportação de commodities visando vitória de Trump",,48,curada
Q019-A49,Q019,"Sim, aumentaram ou planejam aumentar a exposição em outros setores visando vitória de Trump",,49,curada
Q019-A50,Q019,"Sim, aumentaram ou planejam aumentar a exposição em investimento verde visando vitória da Kamala",,50,curada
Q019-A51,Q019,"Sim, aumentaram ou planejam aumentar a exposição em outros setores visando vitória de Kamala",,51,curada
Q019-A52,Q019,Não fizeram e não planejam efetuar mudanças baseado no resultado das eleições presidenciais americanas,,52,curada
Q019-A53,Q019,Qual o nível que você espera que o Ibovespa atinja ao fim de 2026?,,53,curada
Q019-A54,Q019,Abaixo de 140 mil pontos,140000,54,curada
Q019-A57,Q019,Entre 160 mil e 170 mil pontos,165000,57,curada
Q019-A58,Q019,Entre 170 mil e 180 mil pontos,175000,58,curada
Q019-A59,Q019,Entre 180 e 190 mil pontos,185000,59,curada
Q019-A60,Q019,Entre 190 e 200 mil pontos,195000,60,curada
Q019-A61,Q019,Entre 200 e 210 mil pontos,205000,61,curada
Q019-A62,Q019,Acima de 210 mil pontos,210000,62,curada
Q019-A64,Q019,Abaixo de 110 mil pontos,110000,64,curada
Q019-A65,Q019,Entre 110 mil e 120 mil pontos,115000,65,curada
Q019-A69,Q019,Entre 150 e 160 mil pontos,155000,69,curada
Q019-A72,Q019,Quais características na renda variável que seus clientes estão mais interessados em investir neste momento?,,72,curada
Q019-A73,Q019,Ações dolarizadas,,73,curada
Q019-A74,Q019,Ações defensivas,,74,curada
Q019-A75,Q019,Ações cíclicas,,75,curada
Q019-A76,Q019,Ações com baixa alavancagem financeira,,76,curada
Q019-A77,Q019,"Ações com carrego sólido (altas TIRs, geração de caixa)",,77,curada
Q019-A78,Q019,Ações com uma forte dinâmica de lucros,,78,curada
Q019-A79,Q019,Ações de crescimento,,79,curada
Q019-A80,Q019,"Como se tornou o sentimento de seus clientes em relação à renda variável após o anúncio do pacote de corte de gastos, comparado ao que era antes?",,80,curada
Q019-A81,Q019,Pessimista,,81,curada
Q019-A82,Q019,Levemente pessimista,,82,curada
Q019-A83,Q019,Neutro,,83,curada
Q019-A84,Q019,Levemente otimista,,84,curada
Q019-A85,Q019,Otimista,,85,curada
Q019-A86,Q019,"Em períodos de maior incerteza, seus clientes costumam preferir:",,86,curada
Q019-A87,Q019,Manter exposição em renda variável,,87,curada
Q019-A88,Q019,Reduzir exposição em renda variável,,88,curada
Q019-A89,Q019,Aumentar exposição em renda variável,,89,curada
Q019-A90,Q019,Zerar exposição em renda variável,,90,curada
Q019-A91,Q019,"A alta do custo de vida, refletida nas leituras recentes e expectativas para o IPCA, tem levado seus clientes a reduzir os aportes em renda variável?",,91,curada
Q019-A92,Q019,Sim,,92,curada
Q019-A93,Q019,Não,,93,curada
Q019-A94,Q019,Como está a expectativa de seus clientes para o desempenho das empresas nesta temporada de resultados?,,94,curada
Q019-A95,Q019,Fortemente negativa,,95,curada
Q019-A96,Q019,Negativa,,96,curada
Q019-A97,Q019,Neutra,,97,curada
Q019-A98,Q019,Positiva,,98,curada
Q019-A99,Q019,Fortemente positiva,,99,curada
Q019-A100,Q019,Quais tipos de papéis seus clientes preferem evitar?,,100,curada
Q019-A101,Q019,Alta alavancagem financeira,,101,curada
Q019-A102,Q019,Baixo crescimento,,102,curada
Q019-A103,Q019,Margens baixas,,103,curada
Q019-A104,Q019,Exposição a riscos políticos,,104,curada
Q019-A105,Q019,Alta sensitividade aos juros,,105,curada
Q019-A106,Q019,Alta sensitividade a inflação,,106,curada
Q019-A107,Q019,Yields baixos,,107,curada
Q019-A108,Q019,Beta alto,,108,curada
Q019-A109,Q019,Quais estratégias de proteção seus clientes utilizam?,,109,curada
Q019-A110,Q019,Opções,,110,curada
Q019-A111,Q019,Futuros,,111,curada
Q019-A112,Q019,Diversificação (ex.: geografia; classes de ativos),,112,curada
Q019-A113,Q019,Dólar,,113,curada
Q019-A114,Q019,Alocação tática,,114,curada
Q019-A115,Q019,Operações estruturadas,,115,curada
Q019-A116,Q019,Ficar short,,116,curada
Q019-A117,Q019,Não utilizam estratégias de proteção,,117,curada
Q019-A118,Q019,Qual o nível de monitoramento de portfólio que seus clientes fazem?,,118,curada
Q019-A119,Q019,Diariamente,,119,curada
Q019-A120,Q019,Semanalmente,,120,curada
Q019-A121,Q019,Mensalmente,,121,curada
Q019-A122,Q019,Trimestralmente,,122,curada
Q019-A123,Q019,Semestralmente,,123,curada
Q019-A124,Q019,Anualmente,,124,curada
Q019-A125,Q019,Quase nunca,,125,curada
Q019-A126,Q019,Qual a frequência de rebalanceamento de portfólio que seus clientes fazem?,,126,curada
Q019-A134,Q019,Quais estratégias de proteção contra a volatilidade alta seus clientes utilizam?,,134,curada
Q019-A136,Q019,Custo médio (Dollar-Cost Average),,136,curada
Q019-A137,Q019,Ordens de Stop-Loss,,137,curada
Q019-A138,Q019,Hedging com Opções,,138,curada
Q019-A139,Q019,Rebalanceamento de ativos no portfólio,,139,curada
Q019-A140,Q019,Investimentos em setores defensivos,,140,curada
Q019-A141,Q019,Investimento a longo prazo,,141,curada
Q019-A142,Q019,Não utilizam estratégias de proteção contra volatilidade,,142,curada
Q019-A143,Q019,Quão confiantes seus clientes estão de que seus portfólios estão bem diversificados em relação aos riscos de mercado?,,143,curada
Q019-A144,Q019,Bem confiante,,144,curada
Q019-A145,Q019,Meio confiante,,145,curada
Q019-A146,Q019,Não estou confiante,,146,curada
Q019-A147,Q019,Qual o horizonte de investimento de seus clientes?,,147,curada
Q019-A148,Q019,Curto-prazo (menor que 3 meses),,148,curada
Q019-A149,Q019,Médio-prazo (de 3 meses a 1 ano),,149,curada
Q019-A150,Q019,Longo-prazo (maior que 1 ano),,150,curada
Q019-A151,Q019,O horizonte de investimento de seus clientes mudou devido a eventos macroeconômicos recentes?,,151,curada
Q019-A152,Q019,"Sim, encurtou",,152,curada
Q019-A153,Q019,"Sim, ficou mais longo",,153,curada
Q019-A154,Q019,"Não, mas querem mudar",,154,curada
Q019-A155,Q019,"Não, sem intenção de mudar",,155,curada
Q019-A156,Q019,O interesse de seus clientes por investimentos internacionais aumentou após o anúncio das tarifas e a volatilidade recente no mercado?,,156,curada
Q019-A157,Q019,Sim - consideravelmente,,157,curada
Q019-A158,Q019,Sim - razoavelmente,,158,curada
Q019-A159,Q019,Sim - levemente,,159,curada
Q019-A160,Q019,Não mudou,,160,curada
Q019-A161,Q019,Não - reduziu levemente,,161,curada
Q019-A162,Q019,Não - reduziu razoavelmente,,162,curada
Q019-A163,Q019,Não - reduziu consideravelmente,,163,curada
Q019-A164,Q019,Seus clientes acreditam que o atual ciclo de alta de juros no Brasil está próximo do fim?,,164,curada
Q019-A165,Q019,Não tem certeza / Preferem não opinar,,165,curada
Q019-A167,Q019,"Não, ainda veem espaço para novos aumentos",,167,curada
Q019-A168,Q019,Não acompanham esse tipo de informação,,168,curada
Q019-A169,Q019,A partir de qual nível de Selic seus clientes começam a se interessar por renda variável?,,169,curada
Q019-A170,Q019,9%,,170,curada
Q019-A171,Q019,10%,,171,curada
Q019-A172,Q019,12%,,172,curada
Q019-A173,Q019,=< 8%,,173,curada
Q019-A174,Q019,11%,,174,curada
Q019-A175,Q019,14%,,175,curada
Q019-A176,Q019,13%,,176,curada
Q019-A177,Q019,Como seus clientes costumam reagir a fortes quedas de mercado (ex.: -5% na Bolsa)?,,177,curada
Q019-A178,Q019,Ficam inseguros e buscam orientação,,178,curada
Q019-A179,Q019,Aguardam estabilidade antes de agir,,179,curada
Q019-A180,Q019,Aproveitam para aumentar exposição (oportunidade),,180,curada
Q019-A181,Q019,Vendem parte da posição para se protegerem,,181,curada
Q019-A182,Q019,Qual é a percepção predominante dos seus clientes sobre a taxa de câmbio referente ao dólar?,,182,curada
Q019-A183,Q019,Acreditam que vai subir e querem se proteger,,183,curada
Q019-A184,Q019,Acreditam que vai permanecer estável,,184,curada
Q019-A185,Q019,Acreditam que vai cair e estão evitando ativos atrelados,,185,curada
Q019-A186,Q019,Não consideram relevante para a carteira,,186,curada
Q019-A187,Q019,As recentes mudanças nas regras do IOF sobre investimentos/previdência alteraram a visão dos seus clientes?,,187,curada
Q019-A188,Q019,"Sim, reduziu o interesse por previdência privada",,188,curada
Q019-A189,Q019,"Sim, reduziu o interesse por investimentos internacionais/offshore",,189,curada
Q019-A190,Q019,"Não, a maioria dos clientes não percebeu ou entendeu a mudança",,190,curada
Q019-A191,Q019,"Não, mesmo sabendo da mudança, mantiveram as estratégias",,191,curada
Q019-A192,Q019,Como você avaliaria o nível de compreensão dos seus clientes sobre o atual cenário macro?,,192,curada
Q019-A193,Q019,Alto - entendem os principais impactos econômicos,,193,curada
Q019-A194,Q019,"Médio - acompanham, mas com compreensão limitada",,194,curada
Q019-A195,Q019,"Baixo - ouvem falar, mas não conectam com seus investimentos",,195,curada
Q019-A196,Q019,Muito baixo - não demonstram interesse ou conhecimento,,196,curada
Q019-A197,Q019,Como seus clientes enxergam a trajetória da inflação nos próximos 12 meses e como isso tem influenciado o posicionamento deles em investimentos?,,197,curada
Q019-A198,Q019,Inflação em alta - estão priorizando ativos atrelados à inflação (ex.: Tesouro IPCA),,198,curada
Q019-A199,Q019,"Inflação estável - estão mantendo uma carteira diversificada, sem grandes mudanças",,199,curada
Q019-A200,Q019,Inflação em queda - estão buscando mais exposição a renda fixa prefixada ou ações,,200,curada
Q019-A201,Q019,Não possuem opinião formada sobre a inflação e/ou não alteraram suas carteiras,,201,curada
Q019-A202,Q019,A performance dos ativos no 1o semestre gerou mudanças nas carteiras dos seus clientes?,,202,curada
Q019-A203,Q019,"Sim, aumentou interesse em Bolsa brasileira",,203,curada
Q019-A204,Q019,"Sim, aumentou interesse em ativos internacionais",,204,curada
Q019-A205,Q019,"Nao, seguiram alocando primordialmente em renda fixa",,205,curada
Q019-A206,Q019,"Sim, aumentou o interesse em Bolsa brasileira e ativos internacionais",,206,curada
Q019-A207,Q019,"Diante do contexto recente de alterações nas relações comerciais entre Brasil e EUA, incluindo anúncios de tarifas, quais movimentos de alocação você tem observado nas carteiras dos clientes?",,207,curada
Q019-A208,Q019,Aumentaram a exposição a ativos dolarizados,,208,curada
Q019-A209,Q019,Reforçaram posições em ações locais mais defensivas (setores de menor beta ou menos cíclicos),,209,curada
Q019-A210,Q019,"Aumentaram a alocação em renda fixa local (prefixado, CDI ou IPCA+)",,210,curada
Q019-A211,Q019,Reduziram risco de forma não estruturada,,211,curada
Q019-A212,Q019,Não realizaram alterações relevantes nas carteiras,,212,curada
Q019-A213,Q019,Outro,,213,curada
Q019-A214,Q019,A expectativa de início do ciclo de cortes na Selic em 2026 influenciou de alguma forma as alocações dos seus clientes?,,214,curada
Q019-A215,Q019,Aumentaram exposição à bolsa,,215,curada
Q019-A216,Q019,Reduziram posição em renda fixa,,216,curada
Q019-A217,Q019,Realocaram de ações defensivas para cíclicas/sensíveis a juros,,217,curada
Q019-A218,Q019,Mantiveram a estratégia anterior,,218,curada
Q019-A220,Q019,Houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 2º trimestre?,,220,curada
Q019-A227,Q019,A expectativa da retomada do ciclo de cortes de juros nos EUA está influenciando de alguma forma as alocações dos seus clientes?,,227,curada
Q019-A228,Q019,"Sim, estão aumentando exposição em renda variável internacional",,228,curada
Q019-A229,Q019,"Sim, estão aumentando exposição em renda variável local",,229,curada
Q019-A230,Q019,"Sim, estão se posicionando no mercado de moedas (ex.: comprando moedas de mercados emergentes)",,230,curada
Q019-A231,Q019,"Não, mantiveram a estratégia anterior",,231,curada
Q019-A233,Q019,O recém-aprovado PL que irá introduzir a tributação de 10% na fonte sobre dividendos acima de R$ 50 mil por mês alterou a visão dos seus clientes?,,233,curada
Q019-A234,Q019,"Sim, reduziu o interesse por ações",,234,curada
Q019-A235,Q019,"Sim, aumentou o interesse por investimentos isentos (ex: FIIs, LCI/LCA)",,235,curada
Q019-A237,Q019,"Não, a maioria não percebeu ou entendeu a mudança",,237,curada
Q019-A238,Q019,"Não, os meus clientes não são impactados",,238,curada
Q019-A240,Q019,Você utiliza ferramentas de Inteligência Artificial para avaliar ou apoiar decisões de investimento?,,240,curada
Q019-A241,Q019,"Sim, tenho interesse e estou começando a explorar o tema",,241,curada
